,Datetime,hour,day,month,year,Pressure(kPa,Wind_Speed(m/s),Temperature(Â°C),Radiation(W/m^2),Cloud_Coverage(%),Rain(mm/hour),Relative_Humidity(%),wind_lag1,wind_lag3,wind_lag24
0,2019-01-01 0:00:00,0,1,1,2019,101.82,4.26,17.56,0,1.39,0,71.43,,,
1,2019-01-01 1:00:00,1,1,1,2019,101.81,4.4,17.11,0,2.08,0,73.89,4.26,,
2,2019-01-01 2:00:00,2,1,1,2019,101.8,4.67,16.61,0,2.78,0,76.95,4.4,,
3,2019-01-01 3:00:00,3,1,1,2019,101.79,5.05,16.1,0,3.47,0,79.93,4.67,4.26,
4,2019-01-01 4:00:00,4,1,1,2019,101.8,5.31,15.58,0,6.27,0,82.74,5.05,4.4,
5,2019-01-01 5:00:00,5,1,1,2019,101.85,5.39,15.09,0,9.02,0,85.05,5.31,4.67,
6,2019-01-01 6:00:00,6,1,1,2019,101.94,5.37,14.66,0,6.96,0,86.83,5.39,5.05,
7,2019-01-01 7:00:00,7,1,1,2019,102.05,5.59,14.81,94.97,10.15,0,85.32,5.37,5.31,
8,2019-01-01 8:00:00,8,1,1,2019,102.12,5.58,15.36,285.83,12.54,0,81.48,5.59,5.39,
9,2019-01-01 9:00:00,9,1,1,2019,102.13,5.06,16.51,473.1,13.19,0,75.11,5.58,5.37,
10,2019-01-01 10:00:00,10,1,1,2019,102.08,4.86,18.27,586.75,1.38,0,65.77,5.06,5.59,
11,2019-01-01 11:00:00,11,1,1,2019,101.99,4.83,19.96,699.15,6.67,0,57.33,4.86,5.58,
12,2019-01-01 12:00:00,12,1,1,2019,101.88,4.2,21.3,659.78,10.94,0,54.9,4.83,5.06,
13,2019-01-01 13:00:00,13,1,1,2019,101.78,3.83,21.86,600.6,13.34,0,53.87,4.2,4.86,
14,2019-01-01 14:00:00,14,1,1,2019,101.73,3.63,22.16,474.77,13.97,0,52.62,3.83,4.83,
15,2019-01-01 15:00:00,15,1,1,2019,101.72,3.62,22.28,307.98,12.24,0,52.11,3.63,4.2,
16,2019-01-01 16:00:00,16,1,1,2019,101.75,3.52,21.91,125.93,11.11,0,56.58,3.62,3.83,
17,2019-01-01 17:00:00,17,1,1,2019,101.8,3.8,20.95,10.07,9.77,0,60.95,3.52,3.63,
18,2019-01-01 18:00:00,18,1,1,2019,101.85,4.34,20.42,0,8.12,0,61.05,3.8,3.62,
19,2019-01-01 19:00:00,19,1,1,2019,101.89,4.82,19.91,0,6.5,0,61.36,4.34,3.52,
20,2019-01-01 20:00:00,20,1,1,2019,101.89,4.97,19.35,0,4.87,0,63.53,4.82,3.8,
21,2019-01-01 21:00:00,21,1,1,2019,101.86,4.87,18.84,0,3.25,0,65.71,4.97,4.34,
22,2019-01-01 22:00:00,22,1,1,2019,101.85,4.67,18.41,0,1.62,0,67.5,4.87,4.82,
23,2019-01-01 23:00:00,23,1,1,2019,101.83,4.53,18.01,0,0,0,69.05,4.67,4.97,
24,2019-01-02 0:00:00,0,2,1,2019,101.83,4.51,17.61,0,0,0,70.49,4.53,4.87,4.26
25,2019-01-02 1:00:00,1,2,1,2019,101.82,4.59,17.21,0,0,0,72.12,4.51,4.67,4.4
26,2019-01-02 2:00:00,2,2,1,2019,101.82,4.79,16.78,0,0.69,0,74.2,4.59,4.53,4.67
27,2019-01-02 3:00:00,3,2,1,2019,101.82,5.06,16.33,0,1.39,0,76.53,4.79,4.51,5.05
28,2019-01-02 4:00:00,4,2,1,2019,101.83,5.18,15.83,0,1.39,0,78.93,5.06,4.59,5.31
29,2019-01-02 5:00:00,5,2,1,2019,101.87,5.06,15.34,0,2.78,0,81.2,5.18,4.79,5.39
30,2019-01-02 6:00:00,6,2,1,2019,101.95,4.85,14.9,0,4.86,0,83.12,5.06,5.06,5.37
31,2019-01-02 7:00:00,7,2,1,2019,102.04,4.73,15.07,81.2,8.08,0,82.38,4.85,5.18,5.59
32,2019-01-02 8:00:00,8,2,1,2019,102.1,4.65,15.65,257.52,10.96,0,78.86,4.73,5.06,5.58
33,2019-01-02 9:00:00,9,2,1,2019,102.12,4.23,16.7,437.38,13.55,0,73.77,4.65,4.85,5.06
34,2019-01-02 10:00:00,10,2,1,2019,102.06,4.08,18.33,581.12,7.97,0,66.97,4.23,4.73,4.86
35,2019-01-02 11:00:00,11,2,1,2019,101.93,3.68,20.69,645.1,2.89,0,58.1,4.08,4.65,4.83
36,2019-01-02 12:00:00,12,2,1,2019,101.8,3.27,21.52,688.17,17.72,0,57.59,3.68,4.23,4.2
37,2019-01-02 13:00:00,13,2,1,2019,101.7,3.4,22,629.1,13.51,0,55.32,3.27,4.08,3.83
38,2019-01-02 14:00:00,14,2,1,2019,101.66,3.61,22.32,501.2,11.98,0,53.51,3.4,3.68,3.63
39,2019-01-02 15:00:00,15,2,1,2019,101.67,3.67,22.45,324.67,10.42,0,52.62,3.61,3.27,3.62
40,2019-01-02 16:00:00,16,2,1,2019,101.7,3.34,22.1,133.18,8.96,0,56.75,3.67,3.4,3.52
41,2019-01-02 17:00:00,17,2,1,2019,101.76,3.42,21.08,10.8,7.34,0,62.06,3.34,3.61,3.8
42,2019-01-02 18:00:00,18,2,1,2019,101.83,3.7,20.53,0,5.91,0,63.03,3.42,3.67,4.34
43,2019-01-02 19:00:00,19,2,1,2019,101.87,4,20.12,0,4.43,0,62.48,3.7,3.34,4.82
44,2019-01-02 20:00:00,20,2,1,2019,101.89,4,19.7,0,2.95,0,62.09,4,3.42,4.97
45,2019-01-02 21:00:00,21,2,1,2019,101.87,3.64,19.38,0,1.48,0,61.96,4,3.7,4.87
46,2019-01-02 22:00:00,22,2,1,2019,101.85,3.21,19.14,0,0,0,61.93,3.64,4,4.67
47,2019-01-02 23:00:00,23,2,1,2019,101.84,2.86,18.92,0,0,0,62.04,3.21,4,4.53
48,2019-01-03 0:00:00,0,3,1,2019,101.83,2.57,18.67,0,0,0,62.56,2.86,3.64,4.51
49,2019-01-03 1:00:00,1,3,1,2019,101.81,2.5,18.29,0,0,0,64.52,2.57,3.21,4.59
50,2019-01-03 2:00:00,2,3,1,2019,101.78,2.75,17.75,0,0,0,68.16,2.5,2.86,4.79
51,2019-01-03 3:00:00,3,3,1,2019,101.78,3.1,17.17,0,2.13,0,72.52,2.75,2.57,5.06
52,2019-01-03 4:00:00,4,3,1,2019,101.81,3.45,16.61,0,4.25,0,76.7,3.1,2.5,5.18
53,2019-01-03 5:00:00,5,3,1,2019,101.85,3.75,16.11,0,6.38,0,80.2,3.45,2.75,5.06
54,2019-01-03 6:00:00,6,3,1,2019,101.93,3.93,15.79,0,8.5,0,80.11,3.75,3.1,4.85
55,2019-01-03 7:00:00,7,3,1,2019,102.02,3.94,16.02,71.2,11.51,0,78.03,3.93,3.45,4.73
56,2019-01-03 8:00:00,8,3,1,2019,102.1,4.26,16.65,233.18,14.3,0,73.91,3.94,3.75,4.65
57,2019-01-03 9:00:00,9,3,1,2019,102.15,4.09,17.37,407.15,16.51,0,70.97,4.26,3.93,4.23
58,2019-01-03 10:00:00,10,3,1,2019,102.1,3.83,18.67,576.58,0,0,65.21,4.09,3.94,4.08
59,2019-01-03 11:00:00,11,3,1,2019,102,3.52,20.28,645.45,2.3,0,57.44,3.83,4.26,3.68
60,2019-01-03 12:00:00,12,3,1,2019,101.91,2.97,21.27,639.08,4.61,0,57.52,3.52,4.09,3.27
61,2019-01-03 13:00:00,13,3,1,2019,101.81,2.99,21.87,583.45,10.21,0,55.15,2.97,3.83,3.4
62,2019-01-03 14:00:00,14,3,1,2019,101.74,2.98,22.21,460.5,6.33,0,53.19,2.99,3.52,3.61
63,2019-01-03 15:00:00,15,3,1,2019,101.72,3.12,22.3,291.23,5.55,0,52.71,2.98,2.97,3.67
64,2019-01-03 16:00:00,16,3,1,2019,101.74,2.95,21.82,104.18,4.83,0,58.49,3.12,2.99,3.34
65,2019-01-03 17:00:00,17,3,1,2019,101.78,2.87,20.95,8.02,4.14,0,61.98,2.95,2.98,3.42
66,2019-01-03 18:00:00,18,3,1,2019,101.84,2.61,20.57,0,3.45,0,62.21,2.87,3.12,3.7
67,2019-01-03 19:00:00,19,3,1,2019,101.9,2.35,20.32,0,2.75,0,61.18,2.61,2.95,4
68,2019-01-03 20:00:00,20,3,1,2019,101.92,2.18,20.15,0,2.06,0,57.45,2.35,2.87,4
69,2019-01-03 21:00:00,21,3,1,2019,101.9,1.99,19.86,0,1.37,0,56.38,2.18,2.61,3.64
70,2019-01-03 22:00:00,22,3,1,2019,101.88,1.9,19.49,0,0.68,0,57.18,1.99,2.35,3.21
71,2019-01-03 23:00:00,23,3,1,2019,101.85,1.82,19.12,0,0.54,0,58.71,1.9,2.18,2.86
72,2019-01-04 0:00:00,0,4,1,2019,101.83,1.78,18.75,0,0.4,0,60.59,1.82,1.99,2.57
73,2019-01-04 1:00:00,1,4,1,2019,101.8,2.08,18.21,0,0.27,0,64.14,1.78,1.9,2.5
74,2019-01-04 2:00:00,2,4,1,2019,101.79,2.84,17.48,0,0.35,0,69.66,2.08,1.82,2.75
75,2019-01-04 3:00:00,3,4,1,2019,101.79,3.74,16.74,0,0.44,0,75.55,2.84,1.78,3.1
76,2019-01-04 4:00:00,4,4,1,2019,101.83,4.32,16.31,0,0.52,0,76.28,3.74,2.08,3.45
77,2019-01-04 5:00:00,5,4,1,2019,101.88,4.48,15.84,0,0.61,0,77.83,4.32,2.84,3.75
78,2019-01-04 6:00:00,6,4,1,2019,101.97,4.54,15.35,0,0.69,0,80.39,4.48,3.74,3.93
79,2019-01-04 7:00:00,7,4,1,2019,102.09,4.53,15.48,63.42,7.88,0,80,4.54,4.32,3.94
80,2019-01-04 8:00:00,8,4,1,2019,102.18,4.51,16,208.68,15.3,0,77,4.53,4.48,4.26
81,2019-01-04 9:00:00,9,4,1,2019,102.21,3.96,16.91,371.77,20.77,0,72.77,4.51,4.54,4.09
82,2019-01-04 10:00:00,10,4,1,2019,102.16,3.51,18.57,520.15,10.59,0,63.99,3.96,4.53,3.83
83,2019-01-04 11:00:00,11,4,1,2019,102.08,3.48,20.68,605.58,21.45,0,51.82,3.51,4.51,3.52
84,2019-01-04 12:00:00,12,4,1,2019,101.97,3.54,21.46,587.33,16.59,0,51.31,3.48,3.96,2.97
85,2019-01-04 13:00:00,13,4,1,2019,101.88,3.55,21.97,525.8,13.59,0,50,3.54,3.51,2.99
86,2019-01-04 14:00:00,14,4,1,2019,101.84,3.61,22.32,405.42,7.5,0,48.62,3.55,3.48,2.98
87,2019-01-04 15:00:00,15,4,1,2019,101.84,3.65,22.42,248.95,9.12,0,48.57,3.61,3.54,3.12
88,2019-01-04 16:00:00,16,4,1,2019,101.86,3.27,21.91,96.78,7.73,0,54.42,3.65,3.55,2.95
89,2019-01-04 17:00:00,17,4,1,2019,101.88,3.26,20.96,8.77,6.15,0,58.54,3.27,3.61,2.87
90,2019-01-04 18:00:00,18,4,1,2019,101.93,3.49,20.47,0,4.64,0,58.49,3.26,3.65,2.61
91,2019-01-04 19:00:00,19,4,1,2019,101.99,3.98,20.03,0,3.1,0,57.71,3.49,3.27,2.35
92,2019-01-04 20:00:00,20,4,1,2019,102.02,4.4,19.48,0,1.55,0,59.44,3.98,3.26,2.18
93,2019-01-04 21:00:00,21,4,1,2019,102.01,4.34,19,0,0,0,61.69,4.4,3.49,1.99
94,2019-01-04 22:00:00,22,4,1,2019,101.98,4.32,18.54,0,0,0,64.22,4.34,3.98,1.9
95,2019-01-04 23:00:00,23,4,1,2019,101.93,4.4,18.09,0,0,0,66.89,4.32,4.4,1.82
96,2019-01-05 0:00:00,0,5,1,2019,101.87,4.17,17.69,0,0.01,0,68.64,4.4,4.34,1.78
97,2019-01-05 1:00:00,1,5,1,2019,101.81,4.05,17.26,0,0.01,0,70.73,4.17,4.32,2.08
98,2019-01-05 2:00:00,2,5,1,2019,101.76,4.07,16.86,0,0.01,0,73.02,4.05,4.4,2.84
99,2019-01-05 3:00:00,3,5,1,2019,101.74,4.22,16.44,0,0.24,0,75.49,4.07,4.17,3.74
100,2019-01-05 4:00:00,4,5,1,2019,101.72,4.34,16.02,0,0.47,0,77.8,4.22,4.05,4.32
101,2019-01-05 5:00:00,5,5,1,2019,101.75,4.48,15.65,0,0.69,0,79.87,4.34,4.07,4.48
102,2019-01-05 6:00:00,6,5,1,2019,101.85,4.76,15.35,0,4.17,0,81.78,4.48,4.22,4.54
103,2019-01-05 7:00:00,7,5,1,2019,101.96,4.96,15.56,53.12,4.01,0,80.77,4.76,4.34,4.53
104,2019-01-05 8:00:00,8,5,1,2019,102.04,4.92,16.12,147.95,3.86,0,77.46,4.96,4.48,4.51
105,2019-01-05 9:00:00,9,5,1,2019,102.05,3.99,17.05,281.83,3.7,0,72.35,4.92,4.76,3.96
106,2019-01-05 10:00:00,10,5,1,2019,102,3.57,18.7,481.2,6.26,0,63.83,3.99,4.96,3.51
107,2019-01-05 11:00:00,11,5,1,2019,101.91,3.84,20.69,561.85,7.57,0,52.7,3.57,4.92,3.48
108,2019-01-05 12:00:00,12,5,1,2019,101.78,3.84,21.46,651.47,9.52,0,52.1,3.84,3.99,3.54
109,2019-01-05 13:00:00,13,5,1,2019,101.68,3.76,21.95,590.8,17.68,0,52.17,3.84,3.57,3.55
110,2019-01-05 14:00:00,14,5,1,2019,101.61,3.71,22.3,469.52,11.23,0,51.45,3.76,3.84,3.61
111,2019-01-05 15:00:00,15,5,1,2019,101.58,3.87,22.48,300.25,11.32,0,51.18,3.71,3.84,3.65
112,2019-01-05 16:00:00,16,5,1,2019,101.6,3.79,22.12,122.8,11.57,0,55.78,3.87,3.76,3.27
113,2019-01-05 17:00:00,17,5,1,2019,101.64,4.06,21.18,11.43,12.51,0,60,3.79,3.71,3.26
114,2019-01-05 18:00:00,18,5,1,2019,101.69,4.49,20.67,0,12.5,0,60.55,4.06,3.87,3.49
115,2019-01-05 19:00:00,19,5,1,2019,101.73,4.79,20.24,0,8.9,0,60.98,4.49,3.79,3.98
116,2019-01-05 20:00:00,20,5,1,2019,101.76,4.83,19.78,0,5.96,0,62.4,4.79,4.06,4.4
117,2019-01-05 21:00:00,21,5,1,2019,101.75,4.64,19.38,0,3.01,0,63.76,4.83,4.49,4.34
118,2019-01-05 22:00:00,22,5,1,2019,101.72,4.26,19.02,0,0.07,0,64.74,4.64,4.79,4.32
119,2019-01-05 23:00:00,23,5,1,2019,101.68,3.81,18.72,0,0.05,0,65.34,4.26,4.83,4.4
