,Datetime,hour,day,month,year,Pressure(kPa,Wind_Speed(m/s),Temperature(°C),Radiation(W/m^2),Cloud_Coverage(%),Rain(mm/hour),Relative_Humidity(%),wind_lag1,wind_lag3,wind_lag24
57520,2025-07-24 16:00:00,16,24,7,2025,99.11,10.2,30.0,277.0,100,4.4,80.0,13.0,9.0,13.3
57521,2025-07-24 17:00:00,17,24,7,2025,99.13,9.6,30.1,117.0,96,0.0,79.0,10.2,10.2,13.0
57522,2025-07-24 18:00:00,18,24,7,2025,99.19,9.1,29.5,23.0,100,0.4,80.0,9.6,13.0,6.3
57523,2025-07-24 19:00:00,19,24,7,2025,99.22,8.1,29.3,0.0,100,0.0,82.0,9.1,10.2,5.4
57524,2025-07-24 20:00:00,20,24,7,2025,99.3,12.2,29.0,0.0,100,0.0,82.0,8.1,9.6,4.1
57525,2025-07-24 21:00:00,21,24,7,2025,99.36,14.2,28.4,0.0,100,0.0,85.0,12.2,9.1,3.5
57526,2025-07-24 22:00:00,22,24,7,2025,99.37,16.0,28.2,0.0,100,0.0,85.0,14.2,8.1,2.8
57527,2025-07-24 23:00:00,23,24,7,2025,99.35,15.2,28.0,0.0,100,0.0,86.0,16.0,12.2,2.5
57528,2025-07-25 00:00:00,0,25,7,2025,99.32000000000001,11.9,27.2,0.0,100,8.2,91.0,15.2,14.2,1.1
57529,2025-07-25 01:00:00,1,25,7,2025,99.22999999999999,10.7,26.7,0.0,100,3.3,95.0,11.9,16.0,0.9
57530,2025-07-25 02:00:00,2,25,7,2025,99.14,6.9,26.5,0.0,100,4.7,96.0,10.7,15.2,2.8
57531,2025-07-25 03:00:00,3,25,7,2025,99.13,5.9,26.5,0.0,100,4.4,96.0,6.9,11.9,6.1
57532,2025-07-25 04:00:00,4,25,7,2025,99.14,5.6,26.4,0.0,100,5.2,97.0,5.9,10.7,5.3
57533,2025-07-25 05:00:00,5,25,7,2025,99.17,5.8,26.5,1.0,100,1.9,96.0,5.6,6.9,5.5
57534,2025-07-25 06:00:00,6,25,7,2025,99.1,11.4,26.5,50.0,100,9.2,95.0,5.8,5.9,10.4
57535,2025-07-25 07:00:00,7,25,7,2025,99.16,5.0,26.4,33.0,100,22.2,95.0,11.4,5.6,8.1
57536,2025-07-25 08:00:00,8,25,7,2025,99.15,10.3,26.9,57.0,100,10.8,94.0,5.0,5.8,11.8
57537,2025-07-25 09:00:00,9,25,7,2025,99.14,18.7,26.8,83.0,100,6.9,95.0,10.3,11.4,11.9
57538,2025-07-25 10:00:00,10,25,7,2025,99.13,18.6,27.1,115.0,100,5.6,96.0,18.7,5.0,14.7
57539,2025-07-25 11:00:00,11,25,7,2025,99.1,23.4,27.3,153.0,100,14.7,94.0,18.6,10.3,13.5
57540,2025-07-25 12:00:00,12,25,7,2025,98.99,26.8,27.5,111.0,100,13.7,92.0,23.4,18.7,11.4
57541,2025-07-25 13:00:00,13,25,7,2025,98.96000000000001,26.4,28.1,442.0,86,2.8,90.0,26.8,18.6,9.0
57542,2025-07-25 14:00:00,14,25,7,2025,98.92999999999999,28.6,30.2,550.0,99,0.5,79.0,26.4,23.4,10.2
57543,2025-07-25 15:00:00,15,25,7,2025,98.91,29.0,30.3,549.0,99,0.1,76.0,28.6,26.8,13.0
57544,2025-07-25 16:00:00,16,25,7,2025,98.96000000000001,30.5,29.9,339.0,100,0.0,76.0,29.0,26.4,10.2
57545,2025-07-25 17:00:00,17,25,7,2025,99.02000000000001,30.3,29.3,94.0,100,0.0,80.0,30.5,28.6,9.6
57546,2025-07-25 18:00:00,18,25,7,2025,99.14,28.8,28.4,19.0,100,0.2,80.0,30.3,29.0,9.1
57547,2025-07-25 19:00:00,19,25,7,2025,99.26,25.6,26.3,0.0,100,2.7,94.0,28.8,30.5,8.1
57548,2025-07-25 20:00:00,20,25,7,2025,99.35,29.9,27.0,0.0,100,2.7,91.0,25.6,30.3,12.2
